State,religiosity
Alaska,0.28
Alabama,0.54
Arkansas,0.5
Arizona,0.31
California,0.29
Colorado,0.3
Connecticut,0.29
Delaware,0.35
Florida,0.35
Georgia,0.44
Hawaii,0.28
Iowa,0.37
Idaho,0.39
Illinois,0.35
Indiana,0.42
Kansas,0.44
Kentucky,0.45
Louisiana,0.52
Massachusetts,0.26
Maryland,0.36
Maine,0.22
Michigan,0.36
Minnesota,0.37
Missouri,0.39
Mississippi,0.59
Montana,0.32
North Carolina,0.46
North Dakota,0.4
Nebraska,0.46
New Hampshire,0.23
New Jersey,0.32
New Mexico,0.38
Nevada,0.26
New York,0.31
Ohio,0.37
Oklahoma,0.45
Oregon,0.28
Pennsylvania,0.36
Rhode Island,0.32
South Carolina,0.5
South Dakota,0.37
Tennessee,0.49
Texas,0.43
Utah,0.54
Virginia,0.38
Vermont,0.16
Washington,0.28
Wisconsin,0.35
West Virginia,0.38
Wyoming,0.36
