State,republican leaning
Alaska,0.39
Alabama,0.52
Arkansas,0.46
Arizona,0.4
California,0.3
Colorado,0.41
Connecticut,0.32
Delaware,0.29
Florida,0.37
Georgia,0.41
Hawaii,0.28
Iowa,0.41
Idaho,0.49
Illinois,0.33
Indiana,0.42
Kansas,0.46
Kentucky,0.44
Louisiana,0.41
Massachusetts,0.27
Maryland,0.31
Maine,0.36
Michigan,0.34
Minnesota,0.39
Missouri,0.41
Mississippi,0.44
Montana,0.49
North Carolina,0.41
North Dakota,0.5
Nebraska,0.47
New Hampshire,0.35
New Jersey,0.3
New Mexico,0.37
Nevada,0.37
New York,0.28
Ohio,0.42
Oklahoma,0.45
Oregon,0.32
Pennsylvania,0.39
Rhode Island,0.3
South Carolina,0.43
South Dakota,0.53
Tennessee,0.48
Texas,0.39
Utah,0.54
Virginia,0.43
Vermont,0.29
Washington,0.33
Wisconsin,0.42
West Virginia,0.43
Wyoming,0.57
